   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 19/04/20
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
---------------------/ IPRT= 1  / IGRD= 2  /--------/ Z1= 1   / DATE= 19/04/20
 -12.53966 -12.43981 -12.34092 -12.21105 -12.11086 -12.00623 -11.86393 -11.75160
 -11.63099 -11.45842 -11.31623 -11.16028 -10.92471 -10.72403 -10.50990 -10.22616
 -10.03348  -9.88020  -9.74662  -9.68952  -9.65627  -9.63584  -9.62943  -9.62420
 -10.88694 -10.78794 -10.69112 -10.56499 -10.46829 -10.36804 -10.23233 -10.12698
 -10.01693  -9.86110  -9.73257  -9.59228  -9.38683  -9.21544  -9.03241  -8.79453
  -8.63733  -8.51468  -8.41284  -8.37208  -8.34760  -8.33241  -8.32833  -8.32523
  -9.59485  -9.49612  -9.40054  -9.27606  -9.18150  -9.08574  -8.95569  -8.85455
  -8.75115  -8.60694  -8.48966  -8.36385  -8.18130  -8.03275  -7.88107  -7.69273
  -7.57494  -7.48955  -7.42045  -7.39141  -7.37360  -7.36043  -7.35434  -7.34874
  -9.05534  -8.95756  -8.86213  -8.73850  -8.64506  -8.54973  -8.42096  -8.32168
  -8.22030  -8.07955  -7.96636  -7.84661  -7.67473  -7.53681  -7.39896  -7.23351
  -7.13340  -7.06167  -6.99978  -6.96915  -6.94744  -6.92795  -6.91686  -6.90625
  -8.66103  -8.56319  -8.46865  -8.34518  -8.25155  -8.15774  -8.03096  -7.93271
  -7.83295  -7.69443  -7.58273  -7.46499  -7.29966  -7.17014  -7.04273  -6.89381
  -6.80467  -6.73770  -6.67093  -6.63155  -6.60152  -6.57377  -6.55798  -6.54287
